step,wall_time,value
1,1749574703.3749573,1.7061407566070557
2,1749574703.3749573,0.640077531337738
3,1749574703.3749573,0.654197633266449
4,1749574703.3749573,0.7540519833564758
5,1749574703.3749573,0.6845802068710327
6,1749574703.3749573,0.7253190279006958
7,1749574703.3749573,0.6655387282371521
8,1749574703.3749573,0.7014696002006531
9,1749574703.3749573,0.7669432759284973
10,1749574703.3749573,0.7500097155570984
11,1749574703.3749573,0.6821221709251404
12,1749574703.3749573,0.7753653526306152
13,1749574703.3749573,0.7249957919120789
14,1749574703.3749573,0.6530389189720154
15,1749574703.381379,0.6750837564468384
16,1749574703.381379,0.7210091352462769
17,1749574703.381379,0.7174336910247803
18,1749574703.381379,0.708648145198822
19,1749574703.3823836,0.6392657160758972
20,1749574703.3823836,0.673619270324707
